player;age;height;nationality;position;value;games;minutes;goals;assists;crosses;tackles;pressures;blocks;touches;fouls;fouled;offsides;own goals;ball recoveries;saves;squad;Season;league;Attendance;games starts;passes completed;sca;gca;dribbles completed;pens won;goals against gk;shots on target against;CLBestScorer;cards yellow;shots total;LgRk;MP;W;D;L;GF;GA;Pts;CL;WinCL
Ismaël Bennacer;20;175;Algeria;Midfield;12000000;37;2961;0;5;20;96;783;62;2345;48;59;0;0;395;0;Empoli;01/01/2018;Serie A;9620;32;1664;66;11;60;0;0;0;No;7;19;18;38;10;8;20;51;70;38;No;No
Matteo Brighi;37;178;Italy;Midfield;200000;10;231;1;0;0;10;91;6;124;6;9;0;0;32;0;Empoli;01/01/2018;Serie A;9620;1;72;4;0;1;0;0;0;No;1;1;18;38;10;8;20;51;70;38;No;No
Leonardo Capezzi;23;178;Italy;Midfield;800000;12;772;0;0;7;19;238;21;622;22;6;0;1;125;0;Empoli;01/01/2018;Serie A;9620;9;459;7;0;9;0;0;0;No;4;13;18;38;10;8;20;51;70;38;No;No
Francesco Caputo;30;181;Italy;Forward;4000000;38;3420;16;3;39;15;503;18;1282;27;35;32;0;143;0;Empoli;01/01/2018;Serie A;9620;38;712;99;16;15;2;0;0;No;3;90;18;38;10;8;20;51;70;38;No;No
Cristian Dell'Orco;24;183;Italy;Defender;1000000;12;1035;1;0;1;18;148;20;625;10;8;0;0;71;0;Empoli;01/01/2018;Serie A;9620;12;458;3;0;2;0;0;0;No;1;4;18;38;10;8;20;51;70;38;No;No
Giovanni Di Lorenzo;24;183;Italy;Defender;9000000;37;3330;5;3;94;78;681;79;2581;45;53;2;0;266;0;Empoli;01/01/2018;Serie A;9620;37;1696;67;11;33;0;0;0;No;8;22;18;38;10;8;20;51;70;38;No;No
Diego Farias;28;172;Brazil;Forward;4500000;16;1193;4;4;17;8;242;9;472;13;16;3;0;46;0;Empoli;01/01/2018;Serie A;9620;16;188;15;0;14;2;0;0;No;1;34;18;38;10;8;20;51;70;38;No;No
Antonino La Gumina;22;182;Italy;Forward;6000000;22;1090;2;2;3;10;233;13;291;17;21;20;0;34;0;Empoli;01/01/2018;Serie A;9620;12;117;21;3;16;1;0;0;No;1;30;18;38;10;8;20;51;70;38;No;No
Domenico Maietta;35;185;Italy;Defender;300000;21;1714;0;0;5;33;187;25;1141;18;4;1;0;172;0;Empoli;01/01/2018;Serie A;9620;21;843;16;0;4;0;0;0;No;5;7;18;38;10;8;20;51;70;38;No;No
Levan Mchedlidze;28;192;Georgia;Forward;400000;11;208;0;1;0;1;47;5;70;6;2;0;0;5;0;Empoli;01/01/2018;Serie A;9620;0;30;5;1;2;0;0;0;No;1;4;18;38;10;8;20;51;70;38;No;No
Dimitri Oberlin;20;182;Switzerland;Forward;2800000;5;139;0;0;1;2;47;1;52;5;0;1;0;5;0;Empoli;01/01/2018;Serie A;9620;0;18;0;0;1;0;0;0;No;0;0;18;38;10;8;20;51;70;38;No;No
Manuel Pasqual;36;178;Italy;Defender;300000;22;1342;1;2;92;26;247;20;1161;13;11;0;0;108;0;Empoli;01/01/2018;Serie A;9620;13;705;33;2;5;0;0;0;No;2;7;18;38;10;8;20;51;70;38;No;No
Ivan Provedel;24;192;Italy;Goalkeeper;900000;16;1440;0;0;0;0;1;0;529;1;5;0;0;71;69;Empoli;01/01/2018;Serie A;9620;16;349;3;0;0;0;36;101;No;0;0;18;38;10;8;20;51;70;38;No;No
Jacob Rasmussen;21;190;Denmark;Defender;4000000;14;1016;0;1;1;20;134;24;772;8;5;0;0;143;0;Empoli;01/01/2018;Serie A;9620;10;571;8;2;1;0;0;0;No;3;4;18;38;10;8;20;51;70;38;No;No
Alejandro Rodríguez;27;183;Spain;Forward;400000;1;25;0;0;0;0;5;0;10;2;0;0;0;2;0;Empoli;01/01/2018;Serie A;9620;0;2;0;0;0;0;0;0;No;0;1;18;38;10;8;20;51;70;38;No;No
Matías Silvestre;33;185;Argentina;Defender;800000;34;3060;2;0;3;27;211;41;1758;24;22;1;1;267;0;Empoli;01/01/2018;Serie A;9620;34;1267;13;2;1;0;0;0;No;6;10;18;38;10;8;20;51;70;38;No;No
Pietro Terracciano;28;193;Italy;Goalkeeper;800000;8;180;0;0;0;0;0;0;75;0;1;0;0;18;7;Empoli;01/01/2018;Serie A;9620;8;45;1;1;0;0;3;11;No;0;0;18;38;10;8;20;51;70;38;No;No
Joel Untersee;24;181;Switzerland;Defender;700000;3;126;0;0;1;2;21;2;81;2;2;0;0;15;0;Empoli;01/01/2018;Serie A;9620;1;54;1;0;2;0;0;0;No;0;0;18;38;10;8;20;51;70;38;No;No
Miha Zajc;24;178;Slovenia;Forward;5500000;20;1166;3;2;14;3;221;13;757;17;11;5;0;85;0;Empoli;01/01/2018;Serie A;9620;12;466;60;5;29;0;0;0;No;2;53;18;38;10;8;20;51;70;38;No;No
Sergi Darder;24;180;Spain;Midfield;14000000;34;2709;5;2;27;52;635;42;1600;31;30;1;0;229;0;Espanyol;01/01/2018;La Liga;19388;32;1025;86;7;45;0;0;0;No;8;55;7;38;14;11;13;48;50;53;No;No
Oscar Duarte;29;186;Costa Rica;Defender;1000000;11;660;0;0;0;12;52;10;417;8;2;1;1;77;0;Espanyol;01/01/2018;La Liga;19388;7;300;6;1;0;0;0;0;No;0;2;7;38;14;11;13;48;50;53;No;No
Facundo Ferreyra;27;183;Argentina;Forward;4000000;9;211;1;0;2;4;40;1;75;8;4;2;0;8;0;Espanyol;01/01/2018;La Liga;19388;1;32;2;0;0;0;0;0;No;2;3;7;38;14;11;13;48;50;53;No;No
Sergio García;35;174;Spain;Forward;1000000;29;1486;2;1;43;13;233;6;711;17;37;2;0;76;0;Espanyol;01/01/2018;La Liga;19388;17;328;54;6;24;0;0;0;No;3;36;7;38;14;11;13;48;50;53;No;No
Esteban Granero;31;180;Spain;Midfield;3000000;28;2013;3;1;20;59;487;39;1446;38;42;0;0;177;0;Espanyol;01/01/2018;La Liga;19388;24;983;69;8;34;0;0;0;No;11;29;7;38;14;11;13;48;50;53;No;No
Mario Hermoso;23;184;Spain;Defender;25000000;32;2806;3;0;1;34;168;48;1973;22;29;2;0;332;0;Espanyol;01/01/2018;La Liga;19388;31;1380;20;2;12;0;0;0;No;7;27;7;38;14;11;13;48;50;53;No;No
Borja Iglesias;25;187;Spain;Forward;28000000;37;3075;17;3;19;27;632;19;1130;56;51;45;0;141;0;Espanyol;01/01/2018;La Liga;19388;35;481;82;11;44;0;0;0;No;5;87;7;38;14;11;13;48;50;53;No;No
David López;28;185;Spain;Defender;9000000;21;1819;0;0;2;30;152;23;1367;18;17;0;1;186;0;Espanyol;01/01/2018;La Liga;19388;21;1053;17;3;4;1;0;0;No;4;11;7;38;14;11;13;48;50;53;No;No
Diego López;36;196;Spain;Goalkeeper;1000000;38;3420;0;0;0;0;0;0;1281;0;4;0;0;159;114;Espanyol;01/01/2018;La Liga;19388;38;845;2;0;1;0;50;156;No;2;0;7;38;14;11;13;48;50;53;No;No
Javi López;32;180;Spain;Defender;1000000;23;1948;0;1;45;71;308;46;1355;32;35;0;0;180;0;Espanyol;01/01/2018;La Liga;19388;21;835;38;4;25;0;0;0;No;5;7;7;38;14;11;13;48;50;53;No;No
Lluis López;21;182;Spain;Defender;300000;6;521;0;0;0;1;52;11;294;5;2;0;0;57;0;Espanyol;01/01/2018;La Liga;19388;5;198;2;0;2;0;0;0;No;0;1;7;38;14;11;13;48;50;53;No;No
Oscar Melendo;20;167;Spain;Midfield;10000000;32;1997;0;5;16;20;446;27;1106;11;56;0;0;147;0;Espanyol;01/01/2018;La Liga;19388;22;760;69;10;36;0;0;0;No;3;9;7;38;14;11;13;48;50;53;No;No
Naldo;29;188;Brazil;Defender;2000000;16;630;0;0;0;8;32;16;389;5;3;1;0;86;0;Espanyol;01/01/2018;La Liga;19388;16;494;2;0;0;0;0;0;No;1;8;7;38;14;11;13;48;50;53;No;No
Hernán Pérez;29;180;Paraguay;Forward;1500000;19;795;1;2;26;20;162;12;415;21;15;6;0;63;0;Espanyol;01/01/2018;La Liga;19388;10;178;28;2;21;0;0;0;No;1;15;7;38;14;11;13;48;50;53;No;No
Pablo Piatti;29;163;Argentina;Forward;4000000;20;743;1;0;25;23;198;15;433;18;26;1;0;64;0;Espanyol;01/01/2018;La Liga;19388;6;193;33;1;21;0;0;0;No;0;15;7;38;14;11;13;48;50;53;No;No
Javi Puado;20;177;Spain;Forward;1000000;15;359;0;0;3;3;81;8;144;4;2;2;0;21;0;Espanyol;01/01/2018;La Liga;19388;2;63;9;2;4;1;0;0;No;0;7;7;38;14;11;13;48;50;53;No;No
Marc Roca;21;184;Spain;Midfield;30000000;35;3112;1;2;6;82;581;57;2236;60;27;0;0;350;0;Espanyol;01/01/2018;La Liga;19388;35;1696;55;3;36;0;0;0;No;9;24;7;38;14;11;13;48;50;53;No;No
Roberto Rosales;29;174;Venezuela;Defender;2500000;21;1749;3;1;40;43;283;40;1390;34;17;1;0;188;0;Espanyol;01/01/2018;La Liga;19388;20;880;30;4;13;0;0;0;No;2;18;7;38;14;11;13;48;50;53;No;No
Víctor Sánchez;30;174;Spain;Midfield;3000000;24;1265;0;2;14;48;394;18;733;48;36;2;0;127;0;Espanyol;01/01/2018;La Liga;19388;13;459;23;2;3;0;0;0;No;9;11;7;38;14;11;13;48;50;53;No;No
Alfa Semedo;20;190;Guinea-Bissau;Midfield;2000000;3;45;0;0;1;0;17;1;34;1;0;0;0;7;0;Espanyol;01/01/2018;La Liga;19388;0;18;1;0;2;0;0;0;No;1;1;7;38;14;11;13;48;50;53;No;No
Dídac Vilà;29;185;Spain;Defender;4000000;27;2354;0;2;59;68;440;55;1771;38;29;1;0;243;0;Espanyol;01/01/2018;La Liga;19388;27;1042;38;3;18;0;0;0;No;11;24;7;38;14;11;13;48;50;53;No;No
Leighton Baines;33;170;United Kingdom;Defender;3500000;6;375;0;0;8;7;37;5;288;2;1;1;0;31;0;Everton;01/01/2018;Premier League;39043;5;206;10;2;0;0;0;0;No;0;2;8;38;15;9;14;54;46;54;No;No
Bernard;25;164;Brazil;Forward;20000000;34;2116;1;3;44;48;490;52;1204;17;27;2;0;199;0;Everton;01/01/2018;Premier League;39043;25;633;82;10;45;0;0;0;No;5;24;8;38;15;9;14;54;46;54;No;No
Dominic Calvert-Lewin;21;187;United Kingdom;Forward;20000000;35;1784;6;2;17;13;392;29;736;34;32;6;0;86;0;Everton;01/01/2018;Premier League;39043;19;283;33;5;25;1;0;0;No;3;55;8;38;15;9;14;54;46;54;No;No
Tom Davies;20;180;United Kingdom;Midfield;15000000;16;980;0;0;2;27;231;13;651;21;17;1;0;125;0;Everton;01/01/2018;Premier League;39043;10;414;11;0;10;0;0;0;No;3;7;8;38;15;9;14;54;46;54;No;No
Lucas Digne;25;178;France;Defender;30000000;35;2965;4;4;158;84;504;74;2474;39;33;2;1;386;0;Everton;01/01/2018;Premier League;39043;33;1460;103;9;14;0;0;0;No;5;34;8;38;15;9;14;54;46;54;No;No
André Gomes;25;188;Portugal;Midfield;28000000;27;1980;1;1;18;43;518;32;1460;49;27;0;0;266;0;Everton;01/01/2018;Premier League;39043;24;1025;35;2;34;0;0;0;No;7;22;8;38;15;9;14;54;46;54;No;No
Mason Holgate;21;187;United Kingdom;Defender;7000000;5;408;0;0;0;5;42;5;293;2;7;1;0;65;0;Everton;01/01/2018;Premier League;39043;4;192;2;0;1;0;0;0;No;1;0;8;38;15;9;14;54;46;54;No;No
Phil Jagielka;35;180;United Kingdom;Defender;1000000;7;331;1;0;0;8;42;7;219;2;3;0;0;45;0;Everton;01/01/2018;Premier League;39043;4;136;1;0;0;0;0;0;No;0;1;8;38;15;9;14;54;46;54;No;No
Michael Keane;25;188;United Kingdom;Defender;30000000;33;2969;1;2;4;37;233;53;1934;23;7;0;0;416;0;Everton;01/01/2018;Premier League;39043;33;1285;19;1;5;0;0;0;No;2;29;8;38;15;9;14;54;46;54;No;No
Jonjoe Kenny;21;176;United Kingdom;Defender;5000000;10;791;0;1;15;22;136;20;675;10;1;0;0;108;0;Everton;01/01/2018;Premier League;39043;8;431;15;2;7;0;0;0;No;1;3;8;38;15;9;14;54;46;54;No;No
Ademola Lookman;20;174;United Kingdom;Forward;20000000;21;618;0;2;12;15;138;11;391;8;22;2;0;54;0;Everton;01/01/2018;Premier League;39043;3;221;24;4;27;0;0;0;No;0;12;8;38;15;9;14;54;46;54;No;No
James McCarthy;27;180;United Kingdom;Midfield;5000000;1;15;0;0;0;1;5;1;10;0;0;0;0;2;0;Everton;01/01/2018;Premier League;39043;0;7;0;0;0;0;0;0;No;0;0;8;38;15;9;14;54;46;54;No;No
Yerry Mina;23;195;Colombia;Defender;25000000;13;892;1;0;1;17;95;16;600;13;5;1;0;100;0;Everton;01/01/2018;Premier League;39043;10;413;6;1;1;1;0;0;No;3;4;8;38;15;9;14;54;46;54;No;No
Oumar Niasse;28;182;Senegal;Forward;6000000;5;931;0;0;5;11;143;14;362;8;17;9;0;43;0;Everton;01/01/2018;Premier League;39043;0;13;1;0;29;0;0;0;No;0;17;8;38;15;9;14;54;46;54;No;No
Jordan Pickford;24;185;United Kingdom;Goalkeeper;40000000;38;3420;0;0;0;0;1;0;1349;1;3;0;0;186;86;Everton;01/01/2018;Premier League;39043;38;748;3;0;0;0;46;128;No;1;0;8;38;15;9;14;54;46;54;No;No
Richarlison;21;184;Brazil;Forward;50000000;35;2665;13;1;40;55;632;33;1350;33;73;17;0;226;0;Everton;01/01/2018;Premier League;39043;32;546;76;10;41;2;0;0;No;5;87;8;38;15;9;14;54;46;54;No;No
Morgan Schneiderlin;28;186;France;Midfield;15000000;14;834;0;1;1;24;206;16;640;21;8;0;0;108;0;Everton;01/01/2018;Premier League;39043;10;484;14;2;7;0;0;0;No;2;3;8;38;15;9;14;54;46;54;No;No
Cenk Tosun;27;183;Turkey;Forward;18000000;25;1059;3;3;5;13;239;8;397;17;16;10;0;56;0;Everton;01/01/2018;Premier League;39043;10;190;24;3;7;0;0;0;No;3;34;8;38;15;9;14;54;46;54;No;No
Theo Walcott;29;175;United Kingdom;Forward;18000000;37;2119;5;2;49;26;350;25;909;11;26;19;0;122;0;Everton;01/01/2018;Premier League;39043;24;447;49;6;25;0;0;0;No;1;43;8;38;15;9;14;54;46;54;No;No
Kurt Zouma;23;190;France;Defender;25000000;32;2612;2;2;2;34;255;48;1746;21;16;2;0;350;0;Everton;01/01/2018;Premier League;39043;29;1218;12;2;4;0;0;0;No;4;17;8;38;15;9;14;54;46;54;No;No
Marco Benassi;23;184;Italy;Midfield;20000000;32;2282;7;1;31;25;344;26;1070;25;22;2;0;192;0;Fiorentina;01/01/2018;Serie A;31178;29;632;54;3;24;0;0;0;No;6;57;16;38;8;17;13;47;45;41;No;No
Cristiano Biraghi;25;185;Italy;Defender;10000000;36;3194;1;4;139;54;404;78;2306;36;28;3;0;323;0;Fiorentina;01/01/2018;Serie A;31178;36;1379;102;8;24;0;0;0;No;8;35;16;38;8;17;13;47;45;41;No;No
Federico Ceccherini;26;187;Italy;Defender;3500000;15;994;0;0;1;15;80;18;687;17;20;1;0;120;0;Fiorentina;01/01/2018;Serie A;31178;11;503;9;0;5;0;0;0;No;2;2;16;38;8;17;13;47;45;41;No;No
Federico Chiesa;20;180;Italy;Forward;60000000;37;3034;6;3;96;41;554;36;1558;57;58;10;0;226;0;Fiorentina;01/01/2018;Serie A;31178;34;673;127;13;89;4;0;0;No;4;133;16;38;8;17;13;47;45;41;No;No
Bryan Dabo;26;187;Burkina Faso;Midfield;3500000;23;831;1;1;14;12;160;20;541;13;20;1;0;100;0;Fiorentina;01/01/2018;Serie A;31178;6;342;22;2;7;0;0;0;No;4;9;16;38;8;17;13;47;45;41;No;No
Valentin Eysseric;26;181;France;Forward;3000000;8;358;0;1;7;8;68;6;224;10;7;2;0;25;0;Fiorentina;01/01/2018;Serie A;31178;4;134;15;1;5;0;0;0;No;1;4;16;38;8;17;13;47;45;41;No;No
Edimilson Fernandes;22;190;Switzerland;Midfield;8000000;29;1970;2;0;12;43;395;40;1132;38;17;0;0;218;0;Fiorentina;01/01/2018;Serie A;31178;23;750;54;3;23;0;0;0;No;9;20;16;38;8;17;13;47;45;41;No;No
Gerson;21;184;Brazil;Midfield;13000000;36;2426;3;3;14;50;522;47;1480;51;85;4;1;264;0;Fiorentina;01/01/2018;Serie A;31178;27;934;94;9;28;0;0;0;No;9;40;16;38;8;17;13;47;45;41;No;No
Vitor Hugo;27;187;Brazil;Defender;7500000;30;2470;0;2;2;63;265;44;1597;44;18;0;0;279;0;Fiorentina;01/01/2018;Serie A;31178;27;1115;17;2;1;0;0;0;No;7;15;16;38;8;17;13;47;45;41;No;No
Alban Lafont;19;196;France;Goalkeeper;17000000;34;3015;0;0;0;0;1;0;1098;0;8;0;1;174;86;Fiorentina;01/01/2018;Serie A;31178;34;673;5;0;2;0;40;118;No;2;0;16;38;8;17;13;47;45;41;No;No
Vincent Laurini;29;173;France;Defender;1500000;15;920;0;0;26;26;199;19;684;16;21;0;0;102;0;Fiorentina;01/01/2018;Serie A;31178;10;449;21;0;7;0;0;0;No;4;2;16;38;8;17;13;47;45;41;No;No
Kevin Mirallas;30;182;Belgium;Forward;5000000;27;1299;2;1;43;17;253;26;620;16;25;4;0;79;0;Fiorentina;01/01/2018;Serie A;31178;15;314;53;4;16;0;0;0;No;2;29;16;38;8;17;13;47;45;41;No;No
Luis Muriel;27;179;Colombia;Forward;13000000;19;1441;6;0;25;16;267;13;618;21;15;3;0;87;0;Fiorentina;01/01/2018;Serie A;31178;16;35;3;1;38;0;0;0;No;1;45;16;38;8;17;13;47;45;41;No;No
Marko Pjaca;23;186;Croatia;Forward;10000000;19;750;1;1;15;8;90;8;352;10;16;0;0;55;0;Fiorentina;01/01/2018;Serie A;31178;8;176;32;1;16;0;0;0;No;1;19;16;38;8;17;13;47;45;41;No;No
Giovanni Simeone;23;181;Argentina;Forward;20000000;36;2454;6;3;12;32;482;32;767;48;59;15;0;118;0;Fiorentina;01/01/2018;Serie A;31178;27;248;69;7;32;1;0;0;No;2;69;16;38;8;17;13;47;45;41;No;No
Riccardo Sottil;19;180;Italy;Forward;1500000;2;20;0;0;0;1;5;0;13;0;0;0;0;2;0;Fiorentina;01/01/2018;Serie A;31178;0;7;1;0;0;0;0;0;No;0;1;16;38;8;17;13;47;45;41;No;No
Pietro Terracciano;28;193;Italy;Goalkeeper;800000;2;180;0;0;0;0;0;0;75;0;1;0;0;18;7;Fiorentina;01/01/2018;Serie A;31178;2;45;1;1;0;0;3;11;No;0;0;16;38;8;17;13;47;45;41;No;No
Cyril Théréau;35;189;France;Forward;500000;2;30;0;0;0;0;4;0;12;1;0;0;0;1;0;Fiorentina;01/01/2018;Serie A;31178;0;10;1;0;0;0;0;0;No;1;1;16;38;8;17;13;47;45;41;No;No
Jordan Veretout;25;177;France;Midfield;20000000;33;2941;5;3;41;69;646;44;2260;51;38;1;0;427;0;Fiorentina;01/01/2018;Serie A;31178;33;1518;117;4;25;0;0;0;No;12;31;16;38;8;17;13;47;45;41;No;No
Amir Abrashi;28;172;Albania;Midfield;2500000;10;790;0;0;1;19;202;11;463;19;16;0;0;117;0;Freiburg;01/01/2018;Bundesliga;23894;9;333;4;0;6;0;0;0;No;5;7;13;34;8;12;14;46;61;36;No;No
Mark Flekken;25;194;Netherlands;Goalkeeper;600000;1;90;0;0;0;0;0;0;31;0;0;0;0;1;4;Freiburg;01/01/2018;Bundesliga;23894;1;23;1;0;0;0;1;5;No;0;0;13;34;8;12;14;46;61;36;No;No
Mike Frantz;31;182;Germany;Midfield;1000000;31;2216;2;1;30;31;344;36;876;20;35;5;0;153;0;Freiburg;01/01/2018;Bundesliga;23894;29;509;27;3;4;1;0;0;No;2;19;13;34;8;12;14;46;61;36;No;No
Jérome Gondorf;30;176;Germany;Midfield;1500000;25;1296;2;2;27;33;225;35;713;30;25;2;0;160;0;Freiburg;01/01/2018;Bundesliga;23894;13;367;35;4;7;0;0;0;No;3;24;13;34;8;12;14;46;61;36;No;No
Vincenzo Grifo;25;180;Italy;Midfield;9000000;16;335;1;2;6;5;71;1;236;5;2;1;0;29;0;Freiburg;01/01/2018;Bundesliga;23894;16;569;64;8;4;0;0;0;No;0;13;13;34;8;12;14;46;61;36;No;No
Manuel Gulde;27;184;Germany;Defender;4000000;21;1712;1;0;1;28;117;34;1050;10;21;1;0;195;0;Freiburg;01/01/2018;Bundesliga;23894;20;729;13;1;3;0;0;0;No;3;6;13;34;8;12;14;46;61;36;No;No
Christian Günter;25;185;Germany;Defender;9000000;32;2879;0;5;106;42;339;43;1796;28;27;5;0;204;0;Freiburg;01/01/2018;Bundesliga;23894;32;1075;84;7;39;0;0;0;No;4;27;13;34;8;12;14;46;61;36;No;No
Janik Haberer;24;186;Germany;Midfield;10000000;27;2340;1;3;17;70;566;40;1391;48;47;3;0;299;0;Freiburg;01/01/2018;Bundesliga;23894;26;851;77;8;28;0;0;0;No;5;27;13;34;8;12;14;46;61;36;No;No
Dominique Heintz;24;188;Germany;Defender;7500000;34;3053;1;1;7;35;233;52;2052;30;15;2;0;314;0;Freiburg;01/01/2018;Bundesliga;23894;34;1380;28;4;19;0;0;0;No;5;11;13;34;8;12;14;46;61;36;No;No
Nicolas Höfler;28;181;Germany;Midfield;4000000;18;1615;0;0;0;36;313;29;1076;26;24;0;0;207;0;Freiburg;01/01/2018;Bundesliga;23894;18;757;28;1;16;0;0;0;No;6;14;13;34;8;12;14;46;61;36;No;No
Lucas Höler;24;184;Germany;Forward;3000000;26;1006;4;0;10;20;272;8;450;17;27;4;0;50;0;Freiburg;01/01/2018;Bundesliga;23894;11;180;31;2;8;0;0;0;No;0;26;13;34;8;12;14;46;61;36;No;No
Tim Kleindienst;22;194;Germany;Forward;1500000;4;200;0;0;1;5;38;3;89;8;1;3;0;6;0;Freiburg;01/01/2018;Bundesliga;23894;2;44;6;0;5;0;0;0;No;0;5;13;34;8;12;14;46;61;36;No;No
Robin Koch;22;191;Germany;Midfield;10000000;24;1901;1;0;0;25;198;29;1099;20;18;2;0;239;0;Freiburg;01/01/2018;Bundesliga;23894;21;741;14;2;4;0;0;0;No;3;9;13;34;8;12;14;46;61;36;No;No
Lukas Kübler;25;181;Germany;Defender;2500000;16;1184;0;2;24;34;192;21;705;17;21;0;0;137;0;Freiburg;01/01/2018;Bundesliga;23894;15;383;14;4;10;0;0;0;No;2;6;13;34;8;12;14;46;61;36;No;No
Philipp Lienhart;22;189;Austria;Defender;4000000;14;614;0;0;2;8;42;10;382;4;5;0;0;45;0;Freiburg;01/01/2018;Bundesliga;23894;7;240;5;0;4;0;0;0;No;0;3;13;34;8;12;14;46;61;36;No;No
Florian Niederlechner;27;187;Germany;Forward;3500000;24;970;4;1;6;4;209;11;323;23;19;11;0;49;0;Freiburg;01/01/2018;Bundesliga;23894;12;131;22;4;10;0;0;0;No;3;33;13;34;8;12;14;46;61;36;No;No
Nils Petersen;29;188;Germany;Forward;8000000;24;1929;10;3;9;23;677;30;783;23;19;2;0;105;0;Freiburg;01/01/2018;Bundesliga;23894;20;359;45;6;11;0;0;0;No;0;46;13;34;8;12;14;46;61;36;No;No
Yoric Ravet;28;178;France;Midfield;1250000;4;75;0;0;1;0;16;1;44;2;0;0;0;9;0;Freiburg;01/01/2018;Bundesliga;23894;0;19;2;1;1;0;0;0;No;0;1;13;34;8;12;14;46;61;36;No;No
Roland Sallai;21;182;Hungary;Midfield;4500000;10;527;2;0;9;7;100;5;247;17;19;1;0;34;0;Freiburg;01/01/2018;Bundesliga;23894;5;117;9;1;9;1;0;0;No;3;14;13;34;8;12;14;46;61;36;No;No
Keven Schlotterbeck;21;189;Germany;Defender;1000000;9;773;0;0;1;20;96;17;547;6;5;0;0;70;0;Freiburg;01/01/2018;Bundesliga;23894;8;394;0;0;5;0;0;0;No;1;2;13;34;8;12;14;46;61;36;No;No
Nico Schlotterbeck;18;191;Germany;Defender;300000;4;226;0;0;0;5;28;3;129;4;7;0;0;23;0;Freiburg;01/01/2018;Bundesliga;23894;2;81;0;0;3;0;0;0;No;1;1;13;34;8;12;14;46;61;36;No;No
Alexander Schwolow;26;190;Germany;Goalkeeper;9000000;33;2970;0;1;0;0;1;1;1367;0;2;0;0;181;108;Freiburg;01/01/2018;Bundesliga;23894;33;825;6;1;0;0;60;162;No;1;0;13;34;8;12;14;46;61;36;No;No
Luca Waldschmidt;22;181;Germany;Forward;12000000;30;1717;9;1;7;17;323;20;851;32;27;2;0;119;0;Freiburg;01/01/2018;Bundesliga;23894;16;482;54;7;21;1;0;0;No;1;58;13;34;8;12;14;46;61;36;No;No
Joaquín Ardaiz;19;183;Uruguay;Forward;1250000;1;20;0;0;0;0;10;0;6;1;0;0;0;2;0;Frosinone;01/01/2018;Serie A;12656;0;2;1;0;0;0;0;0;No;0;0;19;38;5;10;23;29;69;25;No;No
Lorenzo Ariaudo;29;186;Italy;Defender;1000000;19;1682;0;0;0;20;135;42;811;16;22;2;1;120;0;Frosinone;01/01/2018;Serie A;12656;19;512;10;0;3;0;0;0;No;2;5;19;38;5;10;23;29;69;25;No;No
Francesco Bardi;26;188;Italy;Goalkeeper;800000;3;270;0;0;0;0;0;0;80;0;0;0;0;16;6;Frosinone;01/01/2018;Serie A;12656;3;42;0;0;0;0;5;11;No;0;0;19;38;5;10;23;29;69;25;No;No
Andrea Beghetto;23;182;Italy;Defender;2000000;27;2226;0;3;139;29;380;42;1310;25;16;3;0;170;0;Frosinone;01/01/2018;Serie A;12656;25;696;75;8;9;0;0;0;No;3;23;19;38;5;10;23;29;69;25;No;No
Nicolò Brighenti;28;178;Italy;Defender;500000;11;990;0;0;4;27;137;18;684;16;19;0;0;108;0;Frosinone;01/01/2018;Serie A;12656;11;440;12;0;2;0;0;0;No;4;4;19;38;5;10;23;29;69;25;No;No
Joel Campbell;26;178;Costa Rica;Forward;2500000;17;891;0;3;16;11;165;3;405;16;36;9;0;37;0;Frosinone;01/01/2018;Serie A;12656;11;193;26;4;16;0;0;0;No;4;13;19;38;5;10;23;29;69;25;No;No
Marco Capuano;26;186;Italy;Defender;700000;27;2307;0;0;2;60;349;55;1451;21;12;0;0;244;0;Frosinone;01/01/2018;Serie A;12656;27;973;10;0;1;0;0;0;No;5;8;19;38;5;10;23;29;69;25;No;No
Francesco Cassata;21;183;Italy;Midfield;3500000;19;1124;2;2;7;18;283;11;487;31;22;0;0;102;0;Frosinone;01/01/2018;Serie A;12656;14;270;26;3;21;0;0;0;No;9;14;19;38;5;10;23;29;69;25;No;No
Raman Chibsah;25;177;Ghana;Midfield;1500000;32;2622;1;0;12;57;681;49;1290;46;30;6;0;247;0;Frosinone;01/01/2018;Serie A;12656;30;761;44;2;70;0;0;0;No;5;34;19;38;5;10;23;29;69;25;No;No
Camillo Ciano;28;176;Italy;Forward;3000000;33;2454;7;4;97;33;686;37;1354;69;89;18;0;181;0;Frosinone;01/01/2018;Serie A;12656;28;602;115;7;31;2;0;0;No;12;73;19;38;5;10;23;29;69;25;No;No
Daniel Ciofani;33;191;Italy;Forward;700000;31;1618;5;2;3;9;316;5;507;27;19;8;0;67;0;Frosinone;01/01/2018;Serie A;12656;17;234;29;4;4;0;0;0;No;1;50;19;38;5;10;23;29;69;25;No;No
Lorenzo Crisetig;25;184;Italy;Midfield;800000;8;507;0;0;1;10;175;10;250;15;11;0;0;46;0;Frosinone;01/01/2018;Serie A;12656;5;169;5;0;2;0;0;0;No;3;0;19;38;5;10;23;29;69;25;No;No
Federico Dionisi;31;179;Italy;Forward;1000000;9;204;1;0;7;5;42;0;108;9;8;5;0;10;0;Frosinone;01/01/2018;Serie A;12656;1;40;6;0;1;0;0;0;No;2;11;19;38;5;10;23;29;69;25;No;No
